layer_name,0,1,2,3,4,5,6,7,8,9
resnet.layer3.0.conv2,0.00029669577,8.939905e-05,0.00011130396,0.00029582498,0.000325574,0.00044464643,0.00044464643,0.00013276574,0.00013276574,0.00013276574
resnet.layer3.0.bn2,0.0017475241,0.000540399,0.00065392465,0.001740054,0.0018925644,0.0025569985,0.0025569985,0.00078865956,0.00078865956,0.00078865956
resnet.layer3.0.conv3,0.0001568502,5.9358004e-05,7.609792e-05,0.00011456649,0.00013654443,0.00017328291,0.00017328291,7.286748e-05,7.286748e-05,7.286748e-05
resnet.layer3.0.bn3,0.0010823056,0.00041293347,0.00054228405,0.0008174488,0.00091429596,0.0011467193,0.0011467193,0.00050258235,0.00050258235,0.00050258235
resnet.layer3.0.relu,0.00050029653,0.00015762466,0.00010543328,3.7157268e-05,0.0002121804,0.00020375167,0.00020375167,0.00028400437,0.00028400437,0.00028400437
resnet.layer3.0.downsample,0.0013365098,0.00056775863,0.00029563374,0.0008900973,0.0007554773,0.0011017732,0.0011017732,0.0002192015,0.0002192015,0.0002192015
resnet.layer3.0.downsample.0,0.00023059915,9.47893e-05,4.697725e-05,0.00014815257,0.00012726891,0.0001850862,0.0001850862,3.5122895e-05,3.5122895e-05,3.5122895e-05
resnet.layer3.0.downsample.1,0.0013365098,0.00056775863,0.00029563374,0.0008900973,0.0007554773,0.0011017732,0.0011017732,0.0002192015,0.0002192015,0.0002192015
resnet.layer3.1,0.003789546,0.0022156043,0.002430323,0.0025370556,0.0010713338,0.0011653281,0.0011653281,0.000871132,0.0003933626,0.0003933626
resnet.layer3.1.conv1,8.161162e-05,6.056088e-05,6.228671e-05,7.6774595e-05,0.00016535982,0.00016142265,0.00016142265,0.00018120807,0.00018120807,0.00018120807
resnet.layer3.1.bn1,0.00037386513,0.00020928186,0.00019966433,0.00026727183,0.0005958454,0.0005724152,0.0005724152,0.00065959356,0.00065959356,0.00065959356
resnet.layer3.1.conv2,0.0028968302,0.0014270615,0.0014155939,0.0013064435,0.00044211283,0.0004711871,0.0004711871,0.0002916562,0.0002916562,0.0002916562
resnet.layer3.1.bn2,0.00995265,0.004793897,0.0047926963,0.0047030672,0.0015069243,0.0015356195,0.0015356195,0.0010040024,0.0010040024,0.0010040024
resnet.layer3.1.conv3,0.0008630371,0.0005194858,0.0005794986,0.00058276916,0.0002692971,0.00027192003,0.00027192003,0.00023176026,0.00023176026,0.00023176026
resnet.layer3.1.bn3,0.008607432,0.005235412,0.005796001,0.005796617,0.0027122854,0.0027366932,0.0027366932,0.002367845,0.002367845,0.002367845
