layer_name,0,1,2,3,4,5,6,7,8,9
layer3.5.bn3,0.002872344,0.0007947255,0.0049624555,0.012853257,0.0174667,0.022247573,0.11583878,0.13340458,0.1434986,0.14925088
layer3.5.relu,0.020530663,0.028939761,0.014894217,0.011639155,0.022000648,0.029546082,0.25204033,0.2748409,0.30463654,0.28614485
layer4,0.019241612,0.0010777004,0.016880352,0.0329443,0.09661119,0.10988918,0.9817036,1.0813744,1.1506773,0.9933729
layer4.0,0.024676584,0.003093753,0.020747513,0.03732637,0.11391334,0.12803769,2.1216612,2.2882068,2.4391975,2.164016
layer4.0.conv1,0.022369374,0.030775487,0.018797439,0.003796734,0.017390564,0.024371967,0.29319912,0.32840654,0.3524582,0.3227923
layer4.0.bn1,0.07242069,0.101131424,0.061392814,0.013440222,0.058787286,0.08234528,0.9792187,1.0956378,1.1747308,1.0793216
layer4.0.conv2,0.06341569,0.0840887,0.044999138,0.021202758,0.00093206763,0.013237834,1.0581182,1.1577157,1.2427565,1.0809112
layer4.0.bn2,0.21543229,0.13604406,0.2920544,0.38956133,0.47121778,0.52959836,4.5725536,4.948664,5.266084,4.688445
layer4.0.conv3,0.091822304,0.069882534,0.10970664,0.14240445,0.16269763,0.17210269,1.8513267,1.9882133,2.1275573,1.871599
layer4.0.bn3,0.031042412,0.021934781,0.035352845,0.046787746,0.23045973,0.23977739,1.9190986,2.0558605,2.1954744,1.939145
layer4.0.relu,0.024676584,0.003093753,0.020747513,0.03732637,0.11391334,0.12803769,2.1216612,2.2882068,2.4391975,2.164016
layer4.0.down_sample_layer,0.09401123,0.12212042,0.09825903,0.05471465,0.029730797,0.00437966,0.6802726,0.78500736,0.8697132,0.7507808
layer4.0.down_sample_layer.0,0.03699196,0.04820816,0.03855286,0.021105751,0.012387022,0.0002162978,0.29238766,0.3383808,0.37552673,0.32248333
layer4.0.down_sample_layer.1,0.09401123,0.12212042,0.09825903,0.05471465,0.029730797,0.00437966,0.6802726,0.78500736,0.8697132,0.7507808
layer4.1,0.022913273,0.0022035427,0.01984628,0.035589628,0.10610871,0.1198231,0.99073124,1.0907085,1.167795,1.0095803
